"","SurveyDate","SurveyYear","SurveyType","location","site_number","siteID","latitude","longitude","GyrfalconTerritory","Status","common_name"
"51","5/5/2018",2018,"occupancy/early survey","Seward Peninsula","208","208-14 (208-08; 208",64.64868,-165.64315,"T024","occupied","Gyrfalcon"
"52","5/5/2018",2018,"occupancy/early survey","Seward Peninsula","493","493-08",65.08998333,-166.2386333,"T104","vacant","NULL"
"53","5/5/2018",2018,"occupancy/early survey","Seward Peninsula","493","493-08",65.08998333,-166.2386333,"T104","vacant","NULL"
"54","5/5/2018",2018,"occupancy/early survey","Seward Peninsula","254","254-14 (254-08; 254",65.09468,-166.21857,"T081","occupied","Gyrfalcon"
"55","5/5/2018",2018,"occupancy/early survey","Seward Peninsula","343A","343-14A (343-08)",65.12791667,-166.1798333,"T082","occupied","Raven"
"56","5/5/2018",2018,"occupancy/early survey","Seward Peninsula","256A","256-14A (256-08; 25",65.13106667,-166.1710667,"T082","vacant","NULL"
"57","5/5/2018",2018,"occupancy/early survey","Seward Peninsula","256B","256-14B (256-08; 25",65.13068,-166.16913,"T082","occupied","Gyrfalcon"
"58","5/5/2018",2018,"occupancy/early survey","Seward Peninsula","258","538-08 (258-02; 499",65.19431667,-166.2111667,"T108","occupied","Raven"
"59","5/5/2018",2018,"occupancy/early survey","Seward Peninsula","203","203-14 (203-08)",64.8173,-165.9076167,"T016","vacant","NULL"
"60","5/5/2018",2018,"occupancy/early survey","Seward Peninsula","633A","633-14A",64.81816667,-165.9081333,"T016","vacant","NULL"
"61","5/5/2018",2018,"occupancy/early survey","Seward Peninsula","633B","633-08B",64.81913,-165.90927,"T016","vacant","NULL"
"62","5/5/2018",2018,"occupancy/early survey","Seward Peninsula","020A","020-14A (020-08; 02",64.7669,-165.8467,"T139","occupied","Gyrfalcon"
"63","5/5/2018",2018,"occupancy/early survey","Seward Peninsula","849","849-12",64.73105,-165.7179833,"T171","vacant","NULL"
"64","5/5/2018",2018,"occupancy/early survey","Seward Peninsula","665","665-14 (665-09; 204",64.72742,-165.73535,"T017","vacant","NULL"
"65","5/4/2018",2018,"occupancy/early survey","Seward Peninsula","699A","699-13A (699C)",64.66341667,-164.3284167,"T163","vacant","NULL"
"66","5/4/2018",2018,"occupancy/early survey","Seward Peninsula","865","865-14 (WPT001 DAY2",64.69511667,-164.2298667,"T167","vacant","NULL"
"67","5/4/2018",2018,"occupancy/early survey","Seward Peninsula","700","700-08",64.69323,-164.17967,"T031","vacant","NULL"
"68","5/4/2018",2018,"occupancy/early survey","Seward Peninsula","432","453-13 (453A; 453F1",64.69497,-164.18168,"T031","vacant","NULL"
"69","5/4/2018",2018,"occupancy/early survey","Seward Peninsula","452","452-13 (452G)",64.69475,-164.1831167,"T031","vacant","NULL"
"70","5/4/2018",2018,"occupancy/early survey","Seward Peninsula","60","060-13 (060A; 179-9",65.2143,-164.3246667,"T056","vacant","NULL"
"71","5/4/2018",2018,"occupancy/early survey","Seward Peninsula","420","420-08",65.21498333,-164.39085,"T159","occupied","Rough_legged Hawk"
"72","5/4/2018",2018,"occupancy/early survey","Seward Peninsula","708","708-08",65.18121667,-164.38935,"T185","occupied","Rough_legged Hawk"
"73","5/4/2018",2018,"occupancy/early survey","Seward Peninsula","134","134-08 (134F)",65.1213,-164.3340667,"T065","occupied","Rough_legged Hawk"
"74","5/5/2018",2018,"occupancy/early survey","Seward Peninsula","349","349-14 (349A2; 349-",65.19573333,-166.0379333,"T088","occupied","Gyrfalcon"
"75","5/5/2018",2018,"occupancy/early survey","Seward Peninsula","438","438-08 (632-08; 203",64.81603,-165.9062,"T016","occupied","Gyrfalcon"
"76","5/4/2018",2018,"occupancy/early survey","Seward Peninsula","115B","115-14B (115-08; 15",65.41956667,-164.6450667,"T061","vacant","NULL"
"77","5/4/2018",2018,"occupancy/early survey","Seward Peninsula","115A","115-14A (115-08; 15",65.4196,-164.6476,"T061","vacant","NULL"
"78","5/5/2018",2018,"occupancy/early survey","Seward Peninsula","020B","020-14B (754-08; 01",64.76688,-165.84432,"T139","occupied","NULL"
"79","5/4/2018",2018,"occupancy/early survey","Seward Peninsula","135","135-08  (135F)",65.06423333,-164.3084333,"T066","vacant","NULL"
"80","5/4/2018",2018,"occupancy/early survey","Seward Peninsula","116","116-08 (116F)",65.45461667,-164.6820333,"T010","vacant","NULL"
"81","5/4/2018",2018,"occupancy/early survey","Seward Peninsula","117","117-08 (120B; 161-9",65.45748,-164.69415,"T010","vacant","NULL"
"82","5/4/2018",2018,"occupancy/early survey","Seward Peninsula","120","120-10 (120F; 165-9",65.45757,-164.7042,"T010","occupied","Gyrfalcon"
"83","5/4/2018",2018,"occupancy/early survey","Seward Peninsula","738","738-08 (121D)",65.5427,-164.7325167,"T011","vacant","NULL"
"84","5/4/2018",2018,"occupancy/early survey","Seward Peninsula","122","122-08",65.54395,-164.72363,"T011","occupied","Gyrfalcon"
"85","5/4/2018",2018,"occupancy/early survey","Seward Peninsula","121","121-08 (121A; 166-9",65.52398,-164.70965,"T064","vacant","NULL"
"86","5/4/2018",2018,"occupancy/early survey","Seward Peninsula","416","416-14 (416-08)",65.51648333,-164.7049333,"T172","occupied","Rough_legged Hawk"
"87","5/4/2018",2018,"occupancy/early survey","Seward Peninsula","56","056-08",65.18608333,-164.8474167,"T054","vacant","NULL"
"88","5/4/2018",2018,"occupancy/early survey","Seward Peninsula","56","056-08",65.18608333,-164.8474167,"T054","vacant","NULL"
"89","5/4/2018",2018,"occupancy/early survey","Seward Peninsula","109A","109A-08",65.13543333,-164.9189167,"T098","vacant","NULL"
"90","5/4/2018",2018,"occupancy/early survey","Seward Peninsula","055A","055-08A (055F)",65.13583333,-164.8765,"T053","vacant","NULL"
"91","5/4/2018",2018,"occupancy/early survey","Seward Peninsula","545","545-08 (545F)",65.05245,-164.79405,"T110","vacant","NULL"
"92","5/4/2018",2018,"occupancy/early survey","Seward Peninsula","102","102-15 (102-08;102F",64.90371667,-164.8599167,"T060","vacant","NULL"
"93","5/4/2018",2018,"occupancy/early survey","Seward Peninsula","418","418-13 (418F)",64.79293333,-165.1057333,"T095","vacant","NULL"
"94","6/24/2018",2018,"productivity/comprehensive survey","Seward Peninsula","22","022-14 (022-08; 022",64.60325,-165.6761333,"T048","occupied","Raven"
"95","6/24/2018",2018,"productivity/comprehensive survey","Seward Peninsula","550","550-14 (550A; 550-1",64.61615,-165.6738667,"T112","vacant","NULL"
"96","6/24/2018",2018,"productivity/comprehensive survey","Seward Peninsula","18","018-14 (018-Z; 018-",64.7221,-166.0194167,"T015","occupied","Rough_legged Hawk"
"97","6/24/2018",2018,"productivity/comprehensive survey","Seward Peninsula","526A","526-14A (526-Z; 526",64.7231,-166.0213,"T015","vacant","NULL"
"98","6/24/2018",2018,"productivity/comprehensive survey","Seward Peninsula","526B","526-14B (526-04; 52",64.72388,-166.02333,"T015","occupied","Gyrfalcon"
"99","6/24/2018",2018,"productivity/comprehensive survey","Seward Peninsula","624","624-14 (624-08; 624",64.7249,-166.0243833,"T015","vacant","NULL"
"100","6/24/2018",2018,"productivity/comprehensive survey","Seward Peninsula","625A","625-14A (625-Z; 625",64.72511667,-166.0283333,"T015","vacant","NULL"
"101","6/24/2018",2018,"productivity/comprehensive survey","Seward Peninsula","201","201-14 (201F; 201-Z",64.72608,-166.03143,"T015","vacant","NULL"
"102","6/24/2018",2018,"productivity/comprehensive survey","Seward Peninsula","202","202-14 (202-Z; 202G",64.67898333,-166.0562667,"T148","vacant","NULL"
"103","6/24/2018",2018,"productivity/comprehensive survey","Seward Peninsula","320A","320-14A (320F; 320-",64.69471667,-166.121,"T085","vacant","NULL"
"104","6/24/2018",2018,"productivity/comprehensive survey","Seward Peninsula","194","194-14 (194-Z; 194A",64.69788333,-166.2057,"T072","occupied","Rough_legged Hawk"
"105","6/24/2018",2018,"productivity/comprehensive survey","Seward Peninsula","015A","015-14A (015-08)",64.77426667,-166.2015167,"T047","occupied","Rough_legged Hawk"
"106","6/24/2018",2018,"productivity/comprehensive survey","Seward Peninsula","199","199-14 (015F1; 199-",64.79321667,-166.2088167,"T076","vacant","NULL"
"107","6/24/2018",2018,"productivity/comprehensive survey","Seward Peninsula","199","199-14 (015F1; 199-",64.79321667,-166.2088167,"T076","vacant","NULL"
"108","6/24/2018",2018,"productivity/comprehensive survey","Seward Peninsula","13","013-14 (013-02; 013",64.75438333,-166.3826167,"T025","vacant","NULL"
"109","6/24/2018",2018,"productivity/comprehensive survey","Seward Peninsula","664A","664-14A (664G; 664-",64.74568333,-166.3797167,"T045","vacant","NULL"
"110","6/24/2018",2018,"productivity/comprehensive survey","Seward Peninsula","664B","664-14B (664G; 664-",64.74523333,-166.3796167,"T045","vacant","NULL"
"111","6/24/2018",2018,"productivity/comprehensive survey","Seward Peninsula","196","629-08 (029-98; 262",64.7438,-166.3770667,"T045","occupied","Rough_legged Hawk"
"112","6/24/2018",2018,"productivity/comprehensive survey","Seward Peninsula","196","629-08 (029-98; 262",64.7438,-166.3770667,"T045","occupied","NULL"
"113","6/24/2018",2018,"productivity/comprehensive survey","Seward Peninsula","195","195-14 (195-08; 195",64.73008333,-166.36395,"T073","occupied","Gyrfalcon"
"114","6/24/2018",2018,"productivity/comprehensive survey","Seward Peninsula","11","011-14 (011-Z; 011F",64.68563333,-166.2962333,"T046","vacant","NULL"
"115","6/24/2018",2018,"productivity/comprehensive survey","Seward Peninsula","192A","192-14A (192-Z; 192",64.63935,-166.0559833,"T071","vacant","NULL"
"116","6/24/2018",2018,"productivity/comprehensive survey","Seward Peninsula","189","189-14 (546E; 008-9",64.56858333,-166.0556,"T070","occupied","Gyrfalcon"
"117","6/24/2018",2018,"productivity/comprehensive survey","Seward Peninsula","856","856-13 (546C; 855-1",64.56818333,-166.0474,"T070","vacant","NULL"
"118","6/24/2018",2018,"productivity/comprehensive survey","Seward Peninsula","523","523-08 (523A; 523-Z",64.56936667,-166.0435333,"T070","occupied","Raven"
"119","6/24/2018",2018,"productivity/comprehensive survey","Seward Peninsula","546","546-14 (546-Z; 546-",64.56526667,-166.01725,"T111","vacant","NULL"
"120","6/24/2018",2018,"productivity/comprehensive survey","Seward Peninsula","2","002-13 (002-Z; 002A",64.55216667,-165.8746167,"T042","occupied","Gyrfalcon"
"121","6/24/2018",2018,"productivity/comprehensive survey","Seward Peninsula","3","003-14 (003-Z; OO3A",64.5503,-165.86715,"T042","vacant","NULL"
"122","6/24/2018",2018,"productivity/comprehensive survey","Seward Peninsula","186A","186-14A (186-08A; 1",64.5506,-165.86285,"T042","vacant","NULL"
"123","6/24/2018",2018,"productivity/comprehensive survey","Seward Peninsula","208","208-14 (208-08; 208",64.64868,-165.64315,"T024","occupied","Gyrfalcon"
"124","6/24/2018",2018,"productivity/comprehensive survey","Seward Peninsula","493","493-08",65.08998333,-166.2386333,"T104","occupied","Rough_legged Hawk"
"125","6/24/2018",2018,"productivity/comprehensive survey","Seward Peninsula","493","493-08",65.08998333,-166.2386333,"T104","occupied","NULL"
"126","6/24/2018",2018,"productivity/comprehensive survey","Seward Peninsula","254","254-14 (254-08; 254",65.09468,-166.21857,"T081","occupied","Gyrfalcon"
"127","6/24/2018",2018,"productivity/comprehensive survey","Seward Peninsula","343A","343-14A (343-08)",65.12791667,-166.1798333,"T082","occupied","Raven"
"128","6/24/2018",2018,"productivity/comprehensive survey","Seward Peninsula","256A","256-14A (256-08; 25",65.13106667,-166.1710667,"T082","occupied","Gyrfalcon"
"129","6/24/2018",2018,"productivity/comprehensive survey","Seward Peninsula","256A","256-14A (256-08; 25",65.13106667,-166.1710667,"T082","occupied","Rough_legged Hawk"
"130","6/24/2018",2018,"productivity/comprehensive survey","Seward Peninsula","256B","256-14B (256-08; 25",65.13068,-166.16913,"T082","vacant","NULL"
"131","6/24/2018",2018,"productivity/comprehensive survey","Seward Peninsula","258","538-08 (258-02; 499",65.19431667,-166.2111667,"T108","occupied","Raven"
"132","6/24/2018",2018,"productivity/comprehensive survey","Seward Peninsula","349","349-14 (349A2; 349-",65.19573333,-166.0379333,"T088","occupied","Gyrfalcon"
"133","6/24/2018",2018,"productivity/comprehensive survey","Seward Peninsula","438","438-08 (632-08; 203",64.81603,-165.9062,"T016","occupied","Gyrfalcon"
"134","6/24/2018",2018,"productivity/comprehensive survey","Seward Peninsula","203","203-14 (203-08)",64.8173,-165.9076167,"T016","vacant","NULL"
"135","6/24/2018",2018,"productivity/comprehensive survey","Seward Peninsula","633B","633-08B",64.81913,-165.90927,"T016","occupied","Raven"
"136","6/24/2018",2018,"productivity/comprehensive survey","Seward Peninsula","020A","020-14A (020-08; 02",64.7669,-165.8467,"T139","occupied","Gyrfalcon"
"137","6/24/2018",2018,"productivity/comprehensive survey","Seward Peninsula","020B","020-14B (754-08; 01",64.76688,-165.84432,"T139","vacant","NULL"
"138","6/24/2018",2018,"productivity/comprehensive survey","Seward Peninsula","849","849-12",64.73105,-165.7179833,"T171","vacant","NULL"
"139","6/24/2018",2018,"productivity/comprehensive survey","Seward Peninsula","665","665-14 (665-09; 204",64.72742,-165.73535,"T017","vacant","NULL"
"140","6/25/2018",2018,"productivity/comprehensive survey","Seward Peninsula","115B","115-14B (115-08; 15",65.41956667,-164.6450667,"T061","occupied","NULL"
"141","6/25/2018",2018,"productivity/comprehensive survey","Seward Peninsula","115A","115-14A (115-08; 15",65.4196,-164.6476,"T061","vacant","NULL"
"142","6/25/2018",2018,"productivity/comprehensive survey","Seward Peninsula","116","116-08 (116F)",65.45461667,-164.6820333,"T010","occupied","Rough_legged Hawk"
"143","6/25/2018",2018,"productivity/comprehensive survey","Seward Peninsula","116","116-08 (116F)",65.45461667,-164.6820333,"T010","occupied","NULL"
"144","6/25/2018",2018,"productivity/comprehensive survey","Seward Peninsula","117","117-08 (120B; 161-9",65.45748,-164.69415,"T010","occupied","Peregrin Falcon"
"145","6/25/2018",2018,"productivity/comprehensive survey","Seward Peninsula","117","117-08 (120B; 161-9",65.45748,-164.69415,"T010","occupied","NULL"
"146","6/25/2018",2018,"productivity/comprehensive survey","Seward Peninsula","120","120-10 (120F; 165-9",65.45757,-164.7042,"T010","occupied","Gyrfalcon"
"147","6/25/2018",2018,"productivity/comprehensive survey","Seward Peninsula","122","122-08",65.54395,-164.72363,"T011","occupied","Gyrfalcon"
"148","6/25/2018",2018,"productivity/comprehensive survey","Seward Peninsula","121","121-08 (121A; 166-9",65.52398,-164.70965,"T064","vacant","NULL"
"149","6/25/2018",2018,"productivity/comprehensive survey","Seward Peninsula","416","416-14 (416-08)",65.51648333,-164.7049333,"T172","vacant","NULL"
"150","6/25/2018",2018,"productivity/comprehensive survey","Seward Peninsula","56","056-08",65.18608333,-164.8474167,"T054","occupied","Peregrin Falcon"
"151","6/25/2018",2018,"productivity/comprehensive survey","Seward Peninsula","109A","109A-08",65.13543333,-164.9189167,"T098","vacant","NULL"
"152","6/25/2018",2018,"productivity/comprehensive survey","Seward Peninsula","055A","055-08A (055F)",65.13583333,-164.8765,"T053","vacant","NULL"
"153","6/25/2018",2018,"productivity/comprehensive survey","Seward Peninsula","545","545-08 (545F)",65.05245,-164.79405,"T110","vacant","NULL"
"154","6/26/2018",2018,"productivity/comprehensive survey","Seward Peninsula","102","102-15 (102-08;102F",64.90371667,-164.8599167,"T060","vacant","NULL"
"155","6/26/2018",2018,"productivity/comprehensive survey","Seward Peninsula","418","418-13 (418F)",64.79293333,-165.1057333,"T095","vacant","NULL"
"156","6/25/2018",2018,"productivity/comprehensive survey","Seward Peninsula","173","173-13 (173F; 232-9",64.9431,-164.4240667,"T020","vacant","NULL"
"157","6/25/2018",2018,"productivity/comprehensive survey","Seward Peninsula","172","172-08 (421D)",64.94048333,-164.42335,"T020","vacant","NULL"
"158","6/25/2018",2018,"productivity/comprehensive survey","Seward Peninsula","76","076-08",64.76511667,-164.7798167,"T178","occupied","Rough_legged Hawk"
"159","6/25/2018",2018,"productivity/comprehensive survey","Seward Peninsula","76","076-08",64.76511667,-164.7798167,"T178","occupied","NULL"
"160","6/25/2018",2018,"productivity/comprehensive survey","Seward Peninsula","74","074-08 (074A; 074F)",64.75656667,-164.7627,"T005","vacant","NULL"
"161","6/25/2018",2018,"productivity/comprehensive survey","Seward Peninsula","79","079-13 (079A)",64.74467,-164.74073,"T168","occupied","Gyrfalcon"
"162","6/25/2018",2018,"productivity/comprehensive survey","Seward Peninsula","78","078-13 <078-08>",64.73813333,-164.733,"T179","occupied","Rough_legged Hawk"
"163","6/25/2018",2018,"productivity/comprehensive survey","Seward Peninsula","424","424-13 <424-08>",64.73233333,-164.7342833,"T006","vacant","NULL"
"164","6/25/2018",2018,"productivity/comprehensive survey","Seward Peninsula","45","045-13 (045A; 141C)",64.73341667,-164.7300667,"T006","vacant","NULL"
"165","6/25/2018",2018,"productivity/comprehensive survey","Seward Peninsula","81","081-13 (141B)",64.73193333,-164.7174833,"T006","vacant","NULL"
"166","6/25/2018",2018,"productivity/comprehensive survey","Seward Peninsula","826","826-13 (826F)",64.7058,-164.8936167,"T132","vacant","NULL"
"167","6/25/2018",2018,"productivity/comprehensive survey","Seward Peninsula","826","826-13 (826F)",64.7058,-164.8936167,"T132","vacant","NULL"
"168","6/25/2018",2018,"productivity/comprehensive survey","Seward Peninsula","65","065-08 <065-13>",64.63833333,-165.0273167,"T074","occupied","Gyrfalcon"
"169","6/25/2018",2018,"productivity/comprehensive survey","Seward Peninsula","699A","699-13A (699C)",64.66341667,-164.3284167,"T163","vacant","NULL"
"170","6/25/2018",2018,"productivity/comprehensive survey","Seward Peninsula","700","700-08",64.69323,-164.17967,"T031","vacant","NULL"
"171","6/25/2018",2018,"productivity/comprehensive survey","Seward Peninsula","432","453-13 (453A; 453F1",64.69497,-164.18168,"T031","vacant","NULL"
"172","6/25/2018",2018,"productivity/comprehensive survey","Seward Peninsula","452","452-13 (452G)",64.69475,-164.1831167,"T031","occupied","Rough_legged Hawk"
"173","6/24/2018",2018,"productivity/comprehensive survey","Seward Peninsula","855","855-14 (189-14; 189",64.56836667,-166.0502,"T070","occupied","Peregrin Falcon"
"174","6/24/2018",2018,"productivity/comprehensive survey","Seward Peninsula","633A","633-14A",64.81816667,-165.9081333,"T016","vacant","NULL"
"175","6/25/2018",2018,"productivity/comprehensive survey","Seward Peninsula","60","060-13 (060A; 179-9",65.2143,-164.3246667,"T056","occupied","NULL"
"176","6/25/2018",2018,"productivity/comprehensive survey","Seward Peninsula","60","060-13 (060A; 179-9",65.2143,-164.3246667,"T056","occupied","NULL"
"177","6/25/2018",2018,"productivity/comprehensive survey","Seward Peninsula","60","060-13 (060A; 179-9",65.2143,-164.3246667,"T056","occupied","NULL"
"178","6/25/2018",2018,"productivity/comprehensive survey","Seward Peninsula","420","420-08",65.21498333,-164.39085,"T159","occupied","Rough_legged Hawk"
"179","6/25/2018",2018,"productivity/comprehensive survey","Seward Peninsula","420","420-08",65.21498333,-164.39085,"T159","occupied","NULL"
"180","6/25/2018",2018,"productivity/comprehensive survey","Seward Peninsula","708","708-08",65.18121667,-164.38935,"T185","occupied","Rough_legged Hawk"
"181","6/25/2018",2018,"productivity/comprehensive survey","Seward Peninsula","134","134-08 (134F)",65.1213,-164.3340667,"T065","occupied","NULL"
"182","6/25/2018",2018,"productivity/comprehensive survey","Seward Peninsula","134","134-08 (134F)",65.1213,-164.3340667,"T065","occupied","NULL"
"183","6/25/2018",2018,"productivity/comprehensive survey","Seward Peninsula","135","135-08  (135F)",65.06423333,-164.3084333,"T066","occupied","Rough_legged Hawk"
"184","6/25/2018",2018,"productivity/comprehensive survey","Seward Peninsula","135","135-08  (135F)",65.06423333,-164.3084333,"T066","occupied","NULL"
"185","6/25/2018",2018,"productivity/comprehensive survey","Seward Peninsula","865","865-14 (WPT001 DAY2",64.69511667,-164.2298667,"T167","occupied","Raven"
"186","6/24/2018",2018,"productivity/comprehensive survey","Seward Peninsula","442","442-13 (212B)",64.66477,-165.48308,"T021","occupied","Gyrfalcon"
"187","6/24/2018",2018,"productivity/comprehensive survey","Seward Peninsula","213","213-13 (212F2; 281-",64.66823333,-165.4769,"T021","vacant","NULL"
"188","6/24/2018",2018,"productivity/comprehensive survey","Seward Peninsula","212","212-13 (212G)",64.66758333,-165.4752667,"T021","vacant","NULL"
"189","6/24/2018",2018,"productivity/comprehensive survey","Seward Peninsula","026A","026-13 (026-08; 026",64.73188333,-165.5485167,"T049","vacant","NULL"
